traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,1.4760666996557149e-05,0.00037264606362441555,3.84,24.539877300613497,-5.475340304071991,102983659.89581746,0.15,3.7800000000000002,2.43,3.7800000000000002,,
13,3.2432848436655177e-06,0.0006928606389919878,4.29,37.423312883435585,-7.434276780480143,,0.18,3.21,3.0300000000000002,3.21,,
39,2.2226322714721218e-05,0.00043032492430938873,2.67,23.926380368098158,-2.6406124547035046,371316209.6088478,0.21,2.67,1.05,2.67,,
49,5.564536505162372e-06,0.0003180703647558403,4.38,55.828220858895705,-15.014163369894653,,0.39,2.97,1.32,2.97,4.32,
57,5.1853575772863225e-05,0.0009880339299890295,0.24,98.15950920245399,-81.06629976547815,-67.68916415989295,0.06,0.15,0.15,0.15,4.68,
58,3.4521520604869016e-06,0.0006564464174516615,4.92,37.423312883435585,-4.2416548621707095,,0.27,4.08,3.09,4.08,4.29,
104,4.0502949604906925e-06,0.00046444312147286837,4.74,43.558282208588956,-14.85952427353155,,0.24,3.3000000000000003,1.77,3.3000000000000003,4.59,
108,2.3539279180694174e-05,0.00036852081637406275,3.84,28.220858895705522,-6.717349601873297,729445.963940677,0.27,,0.87,,,
112,1.1418599407471313e-05,0.00025492704298812896,4.11,52.760736196319016,-6.754483850136311,718083010.2806159,0.24,2.7,1.1400000000000001,2.7,,
136,1.798146426461224e-05,0.0003283307269157376,2.5500000000000003,26.993865030674847,-8.59828265103315,43719004.91626965,0.18,,0.96,,,
179,2.8212875050836e-05,0.00047010168600536417,4.92,42.94478527607362,-6.289154468392777,592764.4720490511,0.21,4.92,0.87,4.92,,
183,6.097966472559007e-06,0.0005708259491257195,4.92,65.03067484662577,-20.500123473565182,,0.36,2.97,1.3800000000000001,2.97,4.3500000000000005,
189,4.5533055908713144e-05,0.0015753101197333308,0.24,98.15950920245399,-74.16420199030006,-73.80017526679995,0.06,0.15,0.15,0.15,,
194,2.636828406342294e-05,0.00043035829503423884,2.22,27.607361963190183,-7.61415541604278,54744.07573505007,0.18,2.22,0.78,2.22,,
195,4.746563843924461e-06,0.00022092812787377625,4.92,73.00613496932516,-4.367615915919139,,0.36,3.0300000000000002,1.11,3.0300000000000002,3.12,4.89
